[434/500] loss: 0.000048, lr: [3.90625e-06]
[435/500] loss: 0.000051, lr: [3.90625e-06]
[436/500] loss: 0.000052, lr: [3.90625e-06]
[437/500] loss: 0.000051, lr: [3.90625e-06]
[438/500] loss: 0.000048, lr: [3.90625e-06]
[439/500] loss: 0.000046, lr: [3.90625e-06]
[440/500] loss: 0.000047, lr: [3.90625e-06]
[441/500] loss: 0.000049, lr: [3.90625e-06]
[442/500] loss: 0.000046, lr: [3.90625e-06]
[443/500] loss: 0.000045, lr: [3.90625e-06]
[444/500] loss: 0.000045, lr: [3.90625e-06]
[445/500] loss: 0.000047, lr: [3.90625e-06]
[446/500] loss: 0.000054, lr: [3.90625e-06]
[447/500] loss: 0.000054, lr: [3.90625e-06]
[448/500] loss: 0.000051, lr: [3.90625e-06]
[449/500] loss: 0.000047, lr: [3.90625e-06]
[450/500] loss: 0.000048, lr: [3.90625e-06]
[451/500] loss: 0.000050, lr: [3.90625e-06]
[452/500] loss: 0.000053, lr: [3.90625e-06]
[453/500] loss: 0.000050, lr: [3.90625e-06]
[454/500] loss: 0.000049, lr: [3.90625e-06]
[455/500] loss: 0.000050, lr: [1.953125e-06]
[456/500] loss: 0.000052, lr: [1.953125e-06]
[457/500] loss: 0.000045, lr: [1.953125e-06]
[458/500] loss: 0.000039, lr: [1.953125e-06]
[459/500] loss: 0.000034, lr: [1.953125e-06]
[460/500] loss: 0.000032, lr: [1.953125e-06]
[461/500] loss: 0.000034, lr: [1.953125e-06]
[462/500] loss: 0.000035, lr: [1.953125e-06]
[463/500] loss: 0.000034, lr: [1.953125e-06]
[464/500] loss: 0.000033, lr: [1.953125e-06]
[465/500] loss: 0.000032, lr: [1.953125e-06]
[466/500] loss: 0.000029, lr: [1.953125e-06]
[467/500] loss: 0.000029, lr: [1.953125e-06]
[468/500] loss: 0.000032, lr: [1.953125e-06]
[469/500] loss: 0.000030, lr: [1.953125e-06]
[470/500] loss: 0.000029, lr: [1.953125e-06]
[471/500] loss: 0.000030, lr: [1.953125e-06]
[472/500] loss: 0.000030, lr: [1.953125e-06]
[473/500] loss: 0.000028, lr: [1.953125e-06]
[474/500] loss: 0.000027, lr: [1.953125e-06]
[475/500] loss: 0.000028, lr: [1.953125e-06]
[476/500] loss: 0.000027, lr: [1.953125e-06]
[477/500] loss: 0.000026, lr: [1.953125e-06]
[478/500] loss: 0.000026, lr: [1.953125e-06]
[479/500] loss: 0.000026, lr: [1.953125e-06]
[480/500] loss: 0.000026, lr: [1.953125e-06]
[481/500] loss: 0.000027, lr: [1.953125e-06]
[482/500] loss: 0.000026, lr: [1.953125e-06]
[483/500] loss: 0.000025, lr: [1.953125e-06]
[484/500] loss: 0.000026, lr: [1.953125e-06]
[485/500] loss: 0.000027, lr: [1.953125e-06]
[486/500] loss: 0.000026, lr: [1.953125e-06]
[487/500] loss: 0.000025, lr: [1.953125e-06]
[488/500] loss: 0.000024, lr: [1.953125e-06]
[489/500] loss: 0.000024, lr: [1.953125e-06]
[490/500] loss: 0.000024, lr: [1.953125e-06]
[491/500] loss: 0.000025, lr: [1.953125e-06]
[492/500] loss: 0.000027, lr: [1.953125e-06]
[493/500] loss: 0.000026, lr: [1.953125e-06]
[494/500] loss: 0.000024, lr: [1.953125e-06]
[495/500] loss: 0.000024, lr: [1.953125e-06]
[496/500] loss: 0.000025, lr: [1.953125e-06]
[497/500] loss: 0.000025, lr: [1.953125e-06]
[498/500] loss: 0.000025, lr: [1.953125e-06]
[499/500] loss: 0.000025, lr: [1.953125e-06]
